"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.header","Answer.intent.label","Approve","Reject"
"3X4Q1O9UBHNO99QLTZB98COF3P6O7N","3D7SO00DFLP8113XEKAE363T1IOVC0","Connotation of a Header","Select the connotation of the header","text, classification, intent","$0.02","Fri Apr 23 22:59:39 PDT 2021","3","BatchId:4419456;OriginalHitTemplateId:929448123;","86400","259200","Sun Apr 25 22:59:39 PDT 2021","","","3AMYWKA6YBN7RTAA0RBJRIK6ISGO6Y","AVASQBFN6J692","Submitted","Fri Apr 23 23:05:19 PDT 2021","Fri Apr 23 23:05:27 PDT 2021","Mon Apr 26 23:05:27 PDT 2021","","","","8","0% (0/0)","0% (0/0)","0% (0/0)","Baseball Team Rallies For Lead, Fails In Attempt At Circuit Title","Negative"
"3X4Q1O9UBHNO99QLTZB98COF3P6O7N","3D7SO00DFLP8113XEKAE363T1IOVC0","Connotation of a Header","Select the connotation of the header","text, classification, intent","$0.02","Fri Apr 23 22:59:39 PDT 2021","3","BatchId:4419456;OriginalHitTemplateId:929448123;","86400","259200","Sun Apr 25 22:59:39 PDT 2021","","","3KMS4QQVK2RKKVI63SMUE7GARM9FK8","A2VO8C41JJIQY9","Submitted","Fri Apr 23 23:00:49 PDT 2021","Fri Apr 23 23:04:18 PDT 2021","Mon Apr 26 23:04:18 PDT 2021","","","","209","0% (0/0)","0% (0/0)","0% (0/0)","Baseball Team Rallies For Lead, Fails In Attempt At Circuit Title","Negative"
"3BFF0DJK8XDQ5ZFLDJVJXDQYPB0TS1","3D7SO00DFLP8113XEKAE363T1IOVC0","Connotation of a Header","Select the connotation of the header","text, classification, intent","$0.02","Fri Apr 23 22:59:39 PDT 2021","3","BatchId:4419456;OriginalHitTemplateId:929448123;","86400","259200","Sun Apr 25 22:59:39 PDT 2021","","","320DUZ38G7NVNB8JWRS0VDG9DC9JGC","AVASQBFN6J692","Submitted","Fri Apr 23 23:04:24 PDT 2021","Fri Apr 23 23:04:31 PDT 2021","Mon Apr 26 23:04:31 PDT 2021","","","","7","0% (0/0)","0% (0/0)","0% (0/0)","NAACP Leader Attacks Harnwell Proposals","Negative"
"3BFF0DJK8XDQ5ZFLDJVJXDQYPB0TS1","3D7SO00DFLP8113XEKAE363T1IOVC0","Connotation of a Header","Select the connotation of the header","text, classification, intent","$0.02","Fri Apr 23 22:59:39 PDT 2021","3","BatchId:4419456;OriginalHitTemplateId:929448123;","86400","259200","Sun Apr 25 22:59:39 PDT 2021","","","3H8DHMCCW9CNMB4ACMR4Q7DPF9TDKV","A12HSEVJPQODFW","Submitted","Fri Apr 23 23:02:25 PDT 2021","Fri Apr 23 23:02:36 PDT 2021","Mon Apr 26 23:02:36 PDT 2021","","","","11","0% (0/0)","0% (0/0)","0% (0/0)","NAACP Leader Attacks Harnwell Proposals","Negative"
"3A3KKYU7P3IFZL6AOR488OYR1G0WMI","3D7SO00DFLP8113XEKAE363T1IOVC0","Connotation of a Header","Select the connotation of the header","text, classification, intent","$0.02","Fri Apr 23 22:59:39 PDT 2021","3","BatchId:4419456;OriginalHitTemplateId:929448123;","86400","259200","Sun Apr 25 22:59:39 PDT 2021","","","34X6J5FLPTZM002XZNXCPRKBJZIQJE","AVASQBFN6J692","Submitted","Fri Apr 23 23:02:11 PDT 2021","Fri Apr 23 23:02:17 PDT 2021","Mon Apr 26 23:02:17 PDT 2021","","","","6","0% (0/0)","0% (0/0)","0% (0/0)","Univ. Doctor Attacks Medicare Health Plan","Negative"
"3A3KKYU7P3IFZL6AOR488OYR1G0WMI","3D7SO00DFLP8113XEKAE363T1IOVC0","Connotation of a Header","Select the connotation of the header","text, classification, intent","$0.02","Fri Apr 23 22:59:39 PDT 2021","3","BatchId:4419456;OriginalHitTemplateId:929448123;","86400","259200","Sun Apr 25 22:59:39 PDT 2021","","","3JAOYWH7VI5M3R9BL6Y3JB7EDOJL9P","A2VO8C41JJIQY9","Submitted","Fri Apr 23 23:03:15 PDT 2021","Fri Apr 23 23:06:42 PDT 2021","Mon Apr 26 23:06:42 PDT 2021","","","","207","0% (0/0)","0% (0/0)","0% (0/0)","Univ. Doctor Attacks Medicare Health Plan","Negative"
"3K8CQCU3KE2LH3RA0SJ8L3NR66AWNI","3D7SO00DFLP8113XEKAE363T1IOVC0","Connotation of a Header","Select the connotation of the header","text, classification, intent","$0.02","Fri Apr 23 22:59:39 PDT 2021","3","BatchId:4419456;OriginalHitTemplateId:929448123;","86400","259200","Sun Apr 25 22:59:39 PDT 2021","","","3DR23U6WE5FRH08X2QGGXGI6YYLTEA","AVASQBFN6J692","Submitted","Fri Apr 23 23:03:23 PDT 2021","Fri Apr 23 23:03:34 PDT 2021","Mon Apr 26 23:03:34 PDT 2021","","","","11","0% (0/0)","0% (0/0)","0% (0/0)","Dr. Harnwell Refutes Donolow, Scores Speaker Ban Proposal","Neutral"
"3K8CQCU3KE2LH3RA0SJ8L3NR66AWNI","3D7SO00DFLP8113XEKAE363T1IOVC0","Connotation of a Header","Select the connotation of the header","text, classification, intent","$0.02","Fri Apr 23 22:59:39 PDT 2021","3","BatchId:4419456;OriginalHitTemplateId:929448123;","86400","259200","Sun Apr 25 22:59:39 PDT 2021","","","3PM8NZGV8YHNVK7MGRCDG0SQUXXXQ9","A2VO8C41JJIQY9","Submitted","Fri Apr 23 23:00:34 PDT 2021","Fri Apr 23 23:02:49 PDT 2021","Mon Apr 26 23:02:49 PDT 2021","","","","135","0% (0/0)","0% (0/0)","0% (0/0)","Dr. Harnwell Refutes Donolow, Scores Speaker Ban Proposal","Positive"
"388FBO7JZRUP68MAFT1W6087HEAYNJ","3D7SO00DFLP8113XEKAE363T1IOVC0","Connotation of a Header","Select the connotation of the header","text, classification, intent","$0.02","Fri Apr 23 22:59:40 PDT 2021","3","BatchId:4419456;OriginalHitTemplateId:929448123;","86400","259200","Sun Apr 25 22:59:40 PDT 2021","","","31EUONYN2V4S6JPB1ZJR3A05ZL7OVP","A14OPFM8OFA4WF","Submitted","Fri Apr 23 23:07:41 PDT 2021","Fri Apr 23 23:20:07 PDT 2021","Mon Apr 26 23:20:07 PDT 2021","","","","746","0% (0/0)","0% (0/0)","0% (0/0)","Race Against Time Faces Penna. Gridders While Injuries Sideline Creeden And Owens","Neutral"
"388FBO7JZRUP68MAFT1W6087HEAYNJ","3D7SO00DFLP8113XEKAE363T1IOVC0","Connotation of a Header","Select the connotation of the header","text, classification, intent","$0.02","Fri Apr 23 22:59:40 PDT 2021","3","BatchId:4419456;OriginalHitTemplateId:929448123;","86400","259200","Sun Apr 25 22:59:40 PDT 2021","","","37W3JXSD669HFMTIXWXLR3HLK48YWK","AVASQBFN6J692","Submitted","Fri Apr 23 23:06:08 PDT 2021","Fri Apr 23 23:06:15 PDT 2021","Mon Apr 26 23:06:15 PDT 2021","","","","7","0% (0/0)","0% (0/0)","0% (0/0)","Race Against Time Faces Penna. Gridders While Injuries Sideline Creeden And Owens","Negative"
"3D0LPO3EAB07OTMMG819LP8C7OFYOY","3D7SO00DFLP8113XEKAE363T1IOVC0","Connotation of a Header","Select the connotation of the header","text, classification, intent","$0.02","Fri Apr 23 22:59:40 PDT 2021","3","BatchId:4419456;OriginalHitTemplateId:929448123;","86400","259200","Sun Apr 25 22:59:40 PDT 2021","","","3E7TUJ2EGCN35FLJ8P0F0YZ94FHD91","A2VO8C41JJIQY9","Submitted","Fri Apr 23 23:00:40 PDT 2021","Fri Apr 23 23:03:40 PDT 2021","Mon Apr 26 23:03:40 PDT 2021","","","","180","0% (0/0)","0% (0/0)","0% (0/0)","Free U. Psychedelics Course Opens; Religious, Sexual Implications Cited","Negative"
"3D0LPO3EAB07OTMMG819LP8C7OFYOY","3D7SO00DFLP8113XEKAE363T1IOVC0","Connotation of a Header","Select the connotation of the header","text, classification, intent","$0.02","Fri Apr 23 22:59:40 PDT 2021","3","BatchId:4419456;OriginalHitTemplateId:929448123;","86400","259200","Sun Apr 25 22:59:40 PDT 2021","","","3ZGVPD4G6TIPSVZTYDUTIQJOM4UTZG","AVASQBFN6J692","Submitted","Fri Apr 23 23:06:38 PDT 2021","Fri Apr 23 23:06:45 PDT 2021","Mon Apr 26 23:06:45 PDT 2021","","","","7","0% (0/0)","0% (0/0)","0% (0/0)","Free U. Psychedelics Course Opens; Religious, Sexual Implications Cited","Negative"
"362E9TQF2HRX6GQJO72YUS5MQJQIGP","3D7SO00DFLP8113XEKAE363T1IOVC0","Connotation of a Header","Select the connotation of the header","text, classification, intent","$0.02","Fri Apr 23 22:59:37 PDT 2021","3","BatchId:4419456;OriginalHitTemplateId:929448123;","86400","259200","Sun Apr 25 22:59:37 PDT 2021","","","3PM8NZGV8YHNVK7MGRCDG0SQUXXQX2","AVASQBFN6J692","Submitted","Fri Apr 23 23:03:44 PDT 2021","Fri Apr 23 23:03:51 PDT 2021","Mon Apr 26 23:03:51 PDT 2021","","","","7","0% (0/0)","0% (0/0)","0% (0/0)","Top 5 Men Falter As Racketmen Bow To Pitt's Panthers","Positive"
"362E9TQF2HRX6GQJO72YUS5MQJQIGP","3D7SO00DFLP8113XEKAE363T1IOVC0","Connotation of a Header","Select the connotation of the header","text, classification, intent","$0.02","Fri Apr 23 22:59:37 PDT 2021","3","BatchId:4419456;OriginalHitTemplateId:929448123;","86400","259200","Sun Apr 25 22:59:37 PDT 2021","","","3X31TUMD7XN4EM6GHTJA45PVFCW1LX","A2VO8C41JJIQY9","Submitted","Fri Apr 23 23:12:03 PDT 2021","Fri Apr 23 23:12:10 PDT 2021","Mon Apr 26 23:12:10 PDT 2021","","","","7","0% (0/0)","0% (0/0)","0% (0/0)","Top 5 Men Falter As Racketmen Bow To Pitt's Panthers","Neutral"
"362E9TQF2HRX6GQJO72YUS5MQJQIGP","3D7SO00DFLP8113XEKAE363T1IOVC0","Connotation of a Header","Select the connotation of the header","text, classification, intent","$0.02","Fri Apr 23 22:59:37 PDT 2021","3","BatchId:4419456;OriginalHitTemplateId:929448123;","86400","259200","Sun Apr 25 22:59:37 PDT 2021","","","3XXU1SWE8MWNBEUUOJQKHMQAG8R0AB","A14OPFM8OFA4WF","Submitted","Fri Apr 23 23:05:46 PDT 2021","Fri Apr 23 23:05:53 PDT 2021","Mon Apr 26 23:05:53 PDT 2021","","","","7","0% (0/0)","0% (0/0)","0% (0/0)","Top 5 Men Falter As Racketmen Bow To Pitt's Panthers","Neutral"
"3UOMW19E6D78DGFZF1NLFSG2N5T5CT","3D7SO00DFLP8113XEKAE363T1IOVC0","Connotation of a Header","Select the connotation of the header","text, classification, intent","$0.02","Fri Apr 23 22:59:37 PDT 2021","3","BatchId:4419456;OriginalHitTemplateId:929448123;","86400","259200","Sun Apr 25 22:59:37 PDT 2021","","","3G0WWMR1UVLIJQTIELP4IY1SSJNQNI","AVASQBFN6J692","Submitted","Fri Apr 23 23:02:33 PDT 2021","Fri Apr 23 23:02:42 PDT 2021","Mon Apr 26 23:02:42 PDT 2021","","","","9","0% (0/0)","0% (0/0)","0% (0/0)","Worthy Claims Press Gives Inaccurate Picture Of Cuba CBS Correspondent Lauds Castro Govt.","Negative"
"3UOMW19E6D78DGFZF1NLFSG2N5T5CT","3D7SO00DFLP8113XEKAE363T1IOVC0","Connotation of a Header","Select the connotation of the header","text, classification, intent","$0.02","Fri Apr 23 22:59:37 PDT 2021","3","BatchId:4419456;OriginalHitTemplateId:929448123;","86400","259200","Sun Apr 25 22:59:37 PDT 2021","","","3STRJBFXOWSU3007YCRJVBVBIVHKTL","A2VO8C41JJIQY9","Submitted","Fri Apr 23 23:01:11 PDT 2021","Fri Apr 23 23:05:47 PDT 2021","Mon Apr 26 23:05:47 PDT 2021","","","","276","0% (0/0)","0% (0/0)","0% (0/0)","Worthy Claims Press Gives Inaccurate Picture Of Cuba CBS Correspondent Lauds Castro Govt.","Negative"
"3UOMW19E6D78DGFZF1NLFSG2N5T5CT","3D7SO00DFLP8113XEKAE363T1IOVC0","Connotation of a Header","Select the connotation of the header","text, classification, intent","$0.02","Fri Apr 23 22:59:37 PDT 2021","3","BatchId:4419456;OriginalHitTemplateId:929448123;","86400","259200","Sun Apr 25 22:59:37 PDT 2021","","","3Y9N9SS8LYCHQDW3RGZ59LWN4N83DB","A14OPFM8OFA4WF","Submitted","Fri Apr 23 23:06:36 PDT 2021","Fri Apr 23 23:06:47 PDT 2021","Mon Apr 26 23:06:47 PDT 2021","","","","11","0% (0/0)","0% (0/0)","0% (0/0)","Worthy Claims Press Gives Inaccurate Picture Of Cuba CBS Correspondent Lauds Castro Govt.","Negative"
"3J94SKDEKIQII8LDFXIWZYYK8555DT","3D7SO00DFLP8113XEKAE363T1IOVC0","Connotation of a Header","Select the connotation of the header","text, classification, intent","$0.02","Fri Apr 23 22:59:37 PDT 2021","3","BatchId:4419456;OriginalHitTemplateId:929448123;","86400","259200","Sun Apr 25 22:59:37 PDT 2021","","","3P4RDNWND579J2EEMFS3GPTPSP1IJ3","A2VO8C41JJIQY9","Submitted","Fri Apr 23 23:00:31 PDT 2021","Fri Apr 23 23:01:42 PDT 2021","Mon Apr 26 23:01:42 PDT 2021","","","","71","0% (0/0)","0% (0/0)","0% (0/0)","Undergrad Council Requires Political Parties To Register","Neutral"
"3J94SKDEKIQII8LDFXIWZYYK8555DT","3D7SO00DFLP8113XEKAE363T1IOVC0","Connotation of a Header","Select the connotation of the header","text, classification, intent","$0.02","Fri Apr 23 22:59:37 PDT 2021","3","BatchId:4419456;OriginalHitTemplateId:929448123;","86400","259200","Sun Apr 25 22:59:37 PDT 2021","","","3TMSXRD2X61KPGIFL7QCDG6BDJZW1K","AVASQBFN6J692","Submitted","Fri Apr 23 23:07:13 PDT 2021","Fri Apr 23 23:07:19 PDT 2021","Mon Apr 26 23:07:19 PDT 2021","","","","6","0% (0/0)","0% (0/0)","0% (0/0)","Undergrad Council Requires Political Parties To Register","Neutral"
"3J94SKDEKIQII8LDFXIWZYYK8555DT","3D7SO00DFLP8113XEKAE363T1IOVC0","Connotation of a Header","Select the connotation of the header","text, classification, intent","$0.02","Fri Apr 23 22:59:37 PDT 2021","3","BatchId:4419456;OriginalHitTemplateId:929448123;","86400","259200","Sun Apr 25 22:59:37 PDT 2021","","","3U8YCDAGXPHFYU1BDFN67M5FKQD0QI","A14OPFM8OFA4WF","Submitted","Fri Apr 23 23:07:32 PDT 2021","Fri Apr 23 23:18:29 PDT 2021","Mon Apr 26 23:18:29 PDT 2021","","","","657","0% (0/0)","0% (0/0)","0% (0/0)","Undergrad Council Requires Political Parties To Register","Positive"
"3W5PY7V3UP8TNIVP0V94DTRQ8U5YJF","3D7SO00DFLP8113XEKAE363T1IOVC0","Connotation of a Header","Select the connotation of the header","text, classification, intent","$0.02","Fri Apr 23 22:59:38 PDT 2021","3","BatchId:4419456;OriginalHitTemplateId:929448123;","86400","259200","Sun Apr 25 22:59:38 PDT 2021","","","33TIN5LC04B63QGA4LNTDJ9AM3NY9U","A12HSEVJPQODFW","Submitted","Fri Apr 23 23:02:52 PDT 2021","Fri Apr 23 23:03:04 PDT 2021","Mon Apr 26 23:03:04 PDT 2021","","","","12","0% (0/0)","0% (0/0)","0% (0/0)","Young Democrats To Hold Meeting Protesting HU AC","Neutral"
"3W5PY7V3UP8TNIVP0V94DTRQ8U5YJF","3D7SO00DFLP8113XEKAE363T1IOVC0","Connotation of a Header","Select the connotation of the header","text, classification, intent","$0.02","Fri Apr 23 22:59:38 PDT 2021","3","BatchId:4419456;OriginalHitTemplateId:929448123;","86400","259200","Sun Apr 25 22:59:38 PDT 2021","","","36U2A8VAG10QKMZ18IEI3SNQXXZKYA","A2VO8C41JJIQY9","Submitted","Fri Apr 23 23:01:42 PDT 2021","Fri Apr 23 23:06:00 PDT 2021","Mon Apr 26 23:06:00 PDT 2021","","","","258","0% (0/0)","0% (0/0)","0% (0/0)","Young Democrats To Hold Meeting Protesting HU AC","Positive"
"3W5PY7V3UP8TNIVP0V94DTRQ8U5YJF","3D7SO00DFLP8113XEKAE363T1IOVC0","Connotation of a Header","Select the connotation of the header","text, classification, intent","$0.02","Fri Apr 23 22:59:38 PDT 2021","3","BatchId:4419456;OriginalHitTemplateId:929448123;","86400","259200","Sun Apr 25 22:59:38 PDT 2021","","","3WETL7AQWT9MM0HACAHMB98VR6A353","A14OPFM8OFA4WF","Submitted","Fri Apr 23 23:05:39 PDT 2021","Fri Apr 23 23:05:46 PDT 2021","Mon Apr 26 23:05:46 PDT 2021","","","","7","0% (0/0)","0% (0/0)","0% (0/0)","Young Democrats To Hold Meeting Protesting HU AC","Neutral"
"3AA88CN98P4OY217IG9GE8R3NJ5YKE","3D7SO00DFLP8113XEKAE363T1IOVC0","Connotation of a Header","Select the connotation of the header","text, classification, intent","$0.02","Fri Apr 23 22:59:38 PDT 2021","3","BatchId:4419456;OriginalHitTemplateId:929448123;","86400","259200","Sun Apr 25 22:59:38 PDT 2021","","","3DR23U6WE5FRH08X2QGGXGI6YYMETW","A2VO8C41JJIQY9","Submitted","Fri Apr 23 23:12:19 PDT 2021","Fri Apr 23 23:12:26 PDT 2021","Mon Apr 26 23:12:26 PDT 2021","","","","7","0% (0/0)","0% (0/0)","0% (0/0)","Newsletter Claims Agency Checks Controversial Profs.","Neutral"
"3AA88CN98P4OY217IG9GE8R3NJ5YKE","3D7SO00DFLP8113XEKAE363T1IOVC0","Connotation of a Header","Select the connotation of the header","text, classification, intent","$0.02","Fri Apr 23 22:59:38 PDT 2021","3","BatchId:4419456;OriginalHitTemplateId:929448123;","86400","259200","Sun Apr 25 22:59:38 PDT 2021","","","3LKC68YZ3A45L8PGR9ONPCJJ6U9OWZ","A14OPFM8OFA4WF","Submitted","Fri Apr 23 23:07:42 PDT 2021","Fri Apr 23 23:20:14 PDT 2021","Mon Apr 26 23:20:14 PDT 2021","","","","752","0% (0/0)","0% (0/0)","0% (0/0)","Newsletter Claims Agency Checks Controversial Profs.","Negative"
"3AA88CN98P4OY217IG9GE8R3NJ5YKE","3D7SO00DFLP8113XEKAE363T1IOVC0","Connotation of a Header","Select the connotation of the header","text, classification, intent","$0.02","Fri Apr 23 22:59:38 PDT 2021","3","BatchId:4419456;OriginalHitTemplateId:929448123;","86400","259200","Sun Apr 25 22:59:38 PDT 2021","","","3R5F3LQFV2L9F3UL2W8UOGD1NWDOZP","AVASQBFN6J692","Submitted","Fri Apr 23 23:08:08 PDT 2021","Fri Apr 23 23:08:15 PDT 2021","Mon Apr 26 23:08:15 PDT 2021","","","","7","0% (0/0)","0% (0/0)","0% (0/0)","Newsletter Claims Agency Checks Controversial Profs.","Neutral"
"38RHULDV9YGT32GJ3C6GGVRAK7GWI2","3D7SO00DFLP8113XEKAE363T1IOVC0","Connotation of a Header","Select the connotation of the header","text, classification, intent","$0.02","Fri Apr 23 22:59:38 PDT 2021","3","BatchId:4419456;OriginalHitTemplateId:929448123;","86400","259200","Sun Apr 25 22:59:38 PDT 2021","","","35GMH2SV3EIB483P69UH36CJZQ4OEJ","A14OPFM8OFA4WF","Submitted","Fri Apr 23 23:06:18 PDT 2021","Fri Apr 23 23:06:30 PDT 2021","Mon Apr 26 23:06:30 PDT 2021","","","","12","0% (0/0)","0% (0/0)","0% (0/0)","Can Spring Be Far Behind?","Neutral"
"38RHULDV9YGT32GJ3C6GGVRAK7GWI2","3D7SO00DFLP8113XEKAE363T1IOVC0","Connotation of a Header","Select the connotation of the header","text, classification, intent","$0.02","Fri Apr 23 22:59:38 PDT 2021","3","BatchId:4419456;OriginalHitTemplateId:929448123;","86400","259200","Sun Apr 25 22:59:38 PDT 2021","","","3QL2OFSM96JEPPJZ93O9YTCBO4MNCA","A2VO8C41JJIQY9","Submitted","Fri Apr 23 23:01:05 PDT 2021","Fri Apr 23 23:05:27 PDT 2021","Mon Apr 26 23:05:27 PDT 2021","","","","262","0% (0/0)","0% (0/0)","0% (0/0)","Can Spring Be Far Behind?","Neutral"
